Studio,Count
Madhouse,90
White Fox,20
Bones,63
Bandai Namco Pictures,20
Wit Studio,32
Sunrise,97
K-Factory,3
A-1 Pictures,69
Pierrot,49
TMS Entertainment,77
Kyoto Animation,60
Shaft,45
OLM,22
MAPPA,30
Shin-Ei Animation,32
CoMix Wave Films,7
CloverWorks,19
Production I.G,112
Studio Ghibli,17
LAN Studio,3
Artland,8
ufotable,25
Toei Animation,98
Tokyo Movie Shinsha,12
Studio Deen,75
B.CMAY PICTURES,7
Red Dog Culture House,1
Studio Bind,7
Doga Kobo,17
Kinema Citrus,12
Brain's Base,30
Gainax,15
Shuka,14
Tatsunoko Production,12
Studio Chizu,3
Khara,4
Trigger,9
David Production,18
Motion Magic,10
Studio VOLN,1
J.C.Staff,76
C-Station,6
Manglobe,8
Drive,3
HAL Film Maker,6
Studio M2,1
Lerche,26
Haoliners Animation League,9
Geno Studio,4
Zero-G,3
Sharefun Studio,3
Platinum Vision,2
Nippon Animation,22
8bit,19
P.A. Works,20
Orange,5
SynergySP,11
SILVER LINK.,20
Nippon Ramayana Film Co.,1
Nut,4
Samsara Animation Studio,2
Nexus,2
feel.,9
TROYCA,7
Sparkly Key Animation Studio,10
Xebec,14
Gallop,11
Actas,10
Topcraft,1
HMCH,3
Gonzo,19
Tezuka Productions,6
A.C.G.T.,6
Mushi Production,2
Studio Hibari,4
Imagin,1
Telescreen,2
Ajia-do,11
Shenman Entertainment,3
Studio 4°C,4
Satelight,21
SANZIGEN,19
Colored Pencil Animation,4
Science SARU,7
CLAP,3
Pastel,2
Yumeta Company,3
Shirogumi,2
TYO Animations,10
Seven Arcs,10
Passione,3
Telecom Animation Film,9
LIDENFILMS,12
Kitty Film Mitaka Studio,1
C2C,6
Triangle Staff,3
ABJ COMPANY,1
APPP,3
Bibury Animation Studios,3
add some,15
Fenz,4
E&G Films,4
domerica,1
Studio Rikka,2
Oh! Production,1
Geek Toys,5
Studio Gokumi,10
Bee Train,4
M.S.C,4
Radix,1
Studio Comet,5
Group TAC,7
Lapin Track,1
Flat Studio,2
Production IMS,1
Tokyo Kids,1
Studio Kafka,3
Trans Arts,3
Lay-duce,4
GoHands,12
Pierrot Plus,5
DC Impression Vision,3
BUG FILMS,1
BUILD DREAM,1
AIC ASTA,7
CygamesPictures,4
NAZ,1
AtelierPontdarc,1
Fanworks,9
production doA,2
Phoenix Entertainment,1
Djinn Power,1
Anpro,1
Foch Films,7
HuaMei Animation,1
Original Force,5
Arms,1
AIC Spirits,2
Polygon Pictures,3
Square Enix Visual Works,2
Okuruto Noboru,1
Daume,4
E&H Production,1
Paper Plane Animation Studio,1
PINE JAM,3
Asahi Production,1
Zexcs,6
Studio Blanc.,1
Nomad,3
Hoods Entertainment,3
Ruo Hong Culture,5
Larx Entertainment,3
AIC Classic,2
LIDENFILMS Kyoto Studio,1
dwarf,1
October Media,1
Sunflowers,2
Bee Media,1
Bridge,4
Production +h.,1
Palm Studio,1
Magic Bus,2
Studio 3Hz,1
AIC,12
CMC Media,2
L²Studio,3
I.Gzwei,1
Studio Moriken,2
studio MOTHER,1
Yostar Pictures,3
Big Firebird Culture,2
CG Year,1
The Answer Studio,2
Felix Film,1
Ezόla,1
Connect,2
Encourage Films,1
asread.,1
Studio Colorido,3
Passion Paint Animation,1
Seven Arcs Pictures,2
Typhoon Graphics,1
Studio Signpost,1
Yaoyorozu,1
Cloud Art,1
Studio PuYUKAI,3
Grouper Productions,1
Kamikaze Douga,1
DandeLion Animation Studio,1
Studio Kai,2
Oriental Creative Color,2
Odolttogi,1
Liyu Culture,1
Light Chaser Animation Studios,2
B&T,1
Bakken Record,1
Mili Pictures,1
Diomedéa,7
YHKT Entertainment,1
Studio Mir,1
EMT Squared,1
Studio Ppuri,1
High Energy Studio,1
Millepensee,1
Wawayu Animation,2
Studio Daisy,1
Wulifang,1
Gaina,1
Liber,1
TNK,2
